Entity,Year,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",,
China,2000,95.355484,100,,
China,2001,95.78683,99.79287,,
China,2002,96.11371,99.76367,,
China,2003,96.44288,99.7401,,
China,2004,96.77371,99.72908,,
China,2005,97.105,99.73758,,
China,2006,97.43776,99.770424,,
China,2007,97.77693,99.824036,,
China,2008,98.13041,99.89273,,
China,2009,98.52695,99.95125,,
China,2010,99.40915,100,,
China,2011,99.69618,99.99818,,
China,2012,99.921074,100,,
China,2013,99.99243,100,,
China,2014,100,100,,
China,2015,100,100,,
China,2016,100,100,,
China,2017,100,100,,
China,2018,100,100,,
China,2019,100,100,,
China,2020,100,100,,
China,2021,100,100,,
India,1993,39.580338,82.8,,
India,1994,37.116005,85.2061,,
India,1995,38.92818,85.835365,,
India,1996,40.746742,86.452,,
India,1997,42.5728,87.05283,,
India,1998,44.406868,87.63471,,
India,1999,48.293396,91.3,,
India,2000,47.235325,88.75103,,
India,2001,43.483578,87.6,,
India,2002,51.4745,89.803,,
India,2003,53.532608,90.33395,,
India,2004,53.636147,90.87745,,
India,2005,57.722305,91.44047,,
India,2006,57.3203,93.1,,
India,2007,61.9399,92.63597,,
India,2008,64.07118,93.25918,,
India,2009,65.70223,96.1,,
India,2010,68.373825,94,,
India,2011,56.08608,92.9,,
India,2012,72.40401,96.1,,
India,2013,75.219864,96.4037,,
India,2014,77.58193,97.00684,,
India,2015,83.367935,97.5,,
India,2016,84.763954,98.18642,,
India,2017,88.76408,98.76666,,
India,2018,93.946144,99.1,,
India,2019,96.03021,99.737724,,
India,2020,98.46329,100,,
India,2021,99.33835,100,,
Japan,1990,100,100,,
Japan,1991,100,100,,
Japan,1992,100,100,,
Japan,1993,100,100,,
Japan,1994,100,100,,
Japan,1995,100,100,,
Japan,1996,100,100,,
Japan,1997,100,100,,
Japan,1998,100,100,,
Japan,1999,100,100,,
Japan,2000,100,100,,
Japan,2001,100,100,,
Japan,2002,100,100,,
Japan,2003,100,100,,
Japan,2004,100,100,,
Japan,2005,100,100,,
Japan,2006,100,100,,
Japan,2007,100,100,,
Japan,2008,100,100,,
Japan,2009,100,100,,
Japan,2010,100,100,,
Japan,2011,100,100,,
Japan,2012,100,100,,
Japan,2013,100,100,,
Japan,2014,100,100,,
Japan,2015,100,100,,
Japan,2016,100,100,,
Japan,2017,100,100,,
Japan,2018,100,100,,
Japan,2019,100,100,,
Japan,2020,100,100,,
Japan,2021,100,100,,
United Kingdom,1990,100,100,,
United Kingdom,1991,100,100,,
United Kingdom,1992,100,100,,
United Kingdom,1993,100,100,,
United Kingdom,1994,100,100,,
United Kingdom,1995,100,100,,
United Kingdom,1996,100,100,,
United Kingdom,1997,100,100,,
United Kingdom,1998,100,100,,
United Kingdom,1999,100,100,,
United Kingdom,2000,100,100,,
United Kingdom,2001,100,100,,
United Kingdom,2002,100,100,,
United Kingdom,2003,100,100,,
United Kingdom,2004,100,100,,
United Kingdom,2005,100,100,,
United Kingdom,2006,100,100,,
United Kingdom,2007,100,100,,
United Kingdom,2008,100,100,,
United Kingdom,2009,100,100,,
United Kingdom,2010,100,100,,
United Kingdom,2011,100,100,,
United Kingdom,2012,100,100,,
United Kingdom,2013,100,100,,
United Kingdom,2014,100,100,,
United Kingdom,2015,100,100,,
United Kingdom,2016,100,100,,
United Kingdom,2017,100,100,,
United Kingdom,2018,100,100,,
United Kingdom,2019,100,100,,
United Kingdom,2020,100,100,,
United States,1990,100,100,,
United States,1991,100,100,,
United States,1992,100,100,,
United States,1993,100,100,,
United States,1994,100,100,,
United States,1995,100,100,,
United States,1996,100,100,,
United States,1997,100,100,,
United States,1998,100,100,,
United States,1999,100,100,,
United States,2000,100,100,,
United States,2001,100,100,,
United States,2002,100,100,,
United States,2003,100,100,,
United States,2004,100,100,,
United States,2005,100,100,,
United States,2006,100,100,,
United States,2007,100,100,,
United States,2008,100,100,,
United States,2009,100,100,,
United States,2010,100,100,,
United States,2011,100,100,,
United States,2012,100,100,,
United States,2013,100,100,,
United States,2014,100,100,,
United States,2015,100,100,,
United States,2016,100,100,,
United States,2017,100,100,,
United States,2018,100,100,,
United States,2019,100,100,,
United States,2020,100,100,,
United States,2021,100,100,,
High income,1990,99.38695,99.96994,,
High income,1991,99.52036,99.97732,,
High income,1992,99.48232,99.97187,,
High income,1993,99.50638,99.97841,,
High income,1994,99.51644,99.98001,,
High income,1995,99.52942,99.98133,,
High income,1996,99.50963,99.98165,,
High income,1997,99.553444,99.98358,,
High income,1998,99.60944,99.985405,,
High income,1999,99.58696,99.98349,,
